document	RIX
read_vost_1(1994)_4.txt	0.363636363636364
read_vost_1(1994)_5.txt	0.5
read_vost_1(1994)_6.txt	1.33333333333333
read_vost_1(1994).txt	0.6
read_vost_1(2009)_2.txt	1.5
read_vost_1(2009)_3.txt	2
read_vost_1(2009)_4.txt	2.92857142857143
read_vost_1(2009)_5.txt	2.47058823529412
read_vost_1(2009).txt	2.16666666666667
read_vost_2(1996)_2.txt	1.51515151515152
read_vost_2(1996)_3.txt	3.225
read_vost_2(1996)_4.txt	2.04
read_vost_2(1996)_5.txt	3.41176470588235
read_vost_2(1996).txt	2.27272727272727
read_vost_2(2010)_2.txt	3.77272727272727
read_vost_2(2010).txt	2.32
read_vost_3(1996)_2.txt	3.5
read_vost_3(1996)_3.txt	4.03846153846154
read_vost_3(1996)_4.txt	4.79166666666667
read_vost_3(1996)_5.txt	4.84210526315789
read_vost_3(1996)_6.txt	5.45454545454545
read_vost_3(1996)_7.txt	4.97058823529412
read_vost_3(1996)_8.txt	5.94285714285714
read_vost_3(1996).txt	2.80392156862745
read_vost_3(2009.9)_2.txt	3.36666666666667
read_vost_3(2009.9)_3.txt	3.40909090909091
read_vost_3(2009.9)_4.txt	3.8125
read_vost_3(2009.9)_5.txt	5.375
read_vost_3(2009.9)_6.txt	3.02564102564103
read_vost_3(2009.9).txt	2.06896551724138
read_vost_4(1996)_2.txt	5.16216216216216
read_vost_4(1996)_3.txt	5.7037037037037
read_vost_4(1996)_4.txt	7.46153846153846
read_vost_4(1996)_5.txt	3.21428571428571
read_vost_4(1996)_6.txt	5.74358974358974
read_vost_4(1996).txt	4
read_vost_4(2010)_2.txt	5.11111111111111
read_vost_4(2010)_3.txt	6.65625
read_vost_4(2010)_4.txt	5.74545454545455
read_vost_4(2010)_5.txt	6.1
read_vost_4(2010)_6.txt	7.18181818181818
read_vost_4(2010)_7.txt	2.72916666666667
read_vost_4(2010)_8.txt	5.68181818181818
read_vost_4(2010).txt	5.21052631578947
read_vost_5(1996)_2.txt	7.5
read_vost_5(1996)_3.txt	6.5
read_vost_5(1996)_4.txt	3.52173913043478
read_vost_5(1996)_5.txt	3.85714285714286
read_vost_5(1996).txt	6.26315789473684
read_vost_5(2011)_2.txt	10.0625
read_vost_5(2011)_3.txt	6.96428571428571
read_vost_5(2011)_4.txt	8.63636363636364
read_vost_5(2011)_5.txt	10.8461538461538
read_vost_5(2011)_6.txt	5.27027027027027
read_vost_5(2011)_7.txt	3.94827586206897
read_vost_5(2011)_8.txt	14
read_vost_5(2011)_9.txt	11.0714285714286
read_vost_5(2011).txt	3.82352941176471
read_vost_6(1997)_2.txt	8
read_vost_6(1997)_3.txt	10.0909090909091
read_vost_6(1997).txt	4.3
read_vost_6(2012)_2.txt	6.59375
read_vost_6(2012)_3.txt	4.12244897959184
read_vost_6(2012)_4.txt	9.36363636363636
read_vost_6(2012)_5.txt	7.11764705882353
read_vost_6(2012)_6.txt	8.30434782608696
read_vost_6(2012).txt	7
read_vost_7(1996)_10.txt	5.72222222222222
read_vost_7(1996)_2.txt	3.14176245210728
read_vost_7(1996)_3.txt	5.92857142857143
read_vost_7(1996)_4.txt	9.55555555555556
read_vost_7(1996)_5.txt	11.5833333333333
read_vost_7(1996)_6.txt	7.73333333333333
read_vost_7(1996)_7.txt	8.23076923076923
read_vost_7(1996)_8.txt	8.69811320754717
read_vost_7(1996)_9.txt	13.2727272727273
read_vost_7(1996).txt	7.36
read_vost_7(2013)_2.txt	6.40909090909091
read_vost_7(2013)_3.txt	7.30612244897959
read_vost_7(2013)_4.txt	9
read_vost_7(2013).txt	4.87096774193548
read_vost_8(1997)_2.txt	7.8
read_vost_8(1997)_3.txt	11.3333333333333
read_vost_8(1997)_4.txt	8.3304347826087
read_vost_8(1997)_5.txt	7.52525252525253
read_vost_8(1997)_6.txt	7.46043165467626
read_vost_8(1997).txt	8.84615384615385
read_vost_8(2014)_2.txt	4.73529411764706
read_vost_8(2014)_3.txt	6.77272727272727
read_vost_8(2014)_4.txt	8.15094339622642
read_vost_8(2014)_5.txt	7.8
read_vost_8(2014)_6.txt	5.92307692307692
read_vost_8(2014)_7.txt	5.07547169811321
read_vost_8(2014)_8.txt	5.23076923076923
read_vost_8(2014).txt	6.55172413793103
task_basi_(1980)_gram_2.txt	2.25
task_basi_(1980)_gram_3.txt	2.2
task_basi_(1980)_gram_4.txt	4.2
task_basi_(1980)_gram_5.txt	1.125
task_basi_(1980)_gram_6.txt	1.33333333333333
task_basi_(1980)_gram.txt	1.33333333333333
task_basi_(1980)_synt.txt	1.11111111111111
task_basi_II(1980)_gram_2.txt	3.6
task_basi_II(1980)_gram_3.txt	3
task_basi_II(1980)_gram_4.txt	2
task_basi_II(1980)_gram_5.txt	1.85714285714286
task_basi_II(1980)_gram_6.txt	2.6
task_basi_II(1980)_gram_7.txt	3.16666666666667
task_basi_II(1980)_gram.txt	0.857142857142857
task_basi_II(1980)_lexi.txt	2.375
task_basi_II(1980)_synt.txt	2.25
task_basi_III(1981)_gram_2.txt	3.375
task_basi_III(1981)_gram_3.txt	2.25
task_basi_III(1981)_gram_4.txt	1.71428571428571
task_basi_III(1981)_gram_5.txt	8
task_basi_III(1981)_gram_6.txt	23.3333333333333
task_basi_III(1981)_gram_7.txt	4.1
task_basi_III(1981)_gram.txt	28
task_basi_III(1981)_leSe_2.txt	2.625
task_basi_III(1981)_leSe_3.txt	2.75
task_basi_III(1981)_leSe.txt	2.83333333333333
task_basi_IV(1981)_lexi_2.txt	4.25
task_basi_IV(1981)_lexi_3.txt	4.28571428571429
task_basi_IV(1981)_lexi.txt	3.75
task_basi_IV(1981)_phra.txt	3.55555555555556
task_russ_(2010)_gram_2.txt	2.4
task_russ_(2010)_gram_3.txt	2
task_russ_(2010)_gram_4.txt	2.125
task_russ_(2010)_gram.txt	2
task_russ_(2010)_lexi_2.txt	4.14285714285714
task_russ_(2010)_lexi_3.txt	3.83333333333333
task_russ_(2010)_lexi.txt	2.5
task_russ_1(2008)_gram.txt	1.4
task_russ_1(2009)_gram_2.txt	2
task_russ_1(2009)_gram_3.txt	1.8
task_russ_1(2009)_gram.txt	2.66666666666667
task_russ_1(2015)_gram_2.txt	1.75
task_russ_1(2015)_gram_3.txt	2.8
task_russ_1(2015)_gram.txt	2.4
task_russ_2(2008)_gram.txt	2
task_russ_2(2009)_gram_2.txt	1.875
task_russ_2(2009)_gram_3.txt	1.66666666666667
task_russ_2(2009)_gram.txt	1.83333333333333
task_russ_2(2009)_lexi.txt	1
task_russ_2(2016)_gram_2.txt	3.7
task_russ_2(2016)_gram_3.txt	2.8
task_russ_2(2016)_gram.txt	3.1
task_russ_3(2009)_gram_2.txt	1.33333333333333
task_russ_3(2009)_gram_3.txt	1.375
task_russ_3(2009)_gram_4.txt	2.4
task_russ_3(2009)_gram_5.txt	2
task_russ_3(2009)_gram_6.txt	3.71428571428571
task_russ_3(2009)_gram_7.txt	4
task_russ_3(2009)_gram.txt	4.58333333333333
task_russ_3(2009)_lexi.txt	2.83333333333333
task_russ_3(2018)_gram_2.txt	4.6
task_russ_3(2018)_gram_3.txt	5.75
