document	K
read_trav_4(2016)_3.txt	38.6259040105194
read_trav_4(2016)_4.txt	60.4838709677419
read_trav_4(2016)_5.txt	63.7119113573407
read_trav_4(2016)_6.txt	57.2902201944059
read_trav_4(2016).txt	92.3076923076923
read_vost_1(1994)_2.txt	258.875739644971
read_vost_1(1994)_3.txt	411.678218861584
read_vost_1(1994)_4.txt	373.263888888889
read_vost_1(1994)_5.txt	173.89204202391
read_vost_1(1994)_6.txt	184.320161595758
read_vost_1(1994).txt	216
read_vost_1(2009)_2.txt	320.78413900646
read_vost_1(2009)_3.txt	179.962192816635
read_vost_1(2009)_4.txt	75.7575757575758
read_vost_1(2009)_5.txt	148.831263696129
read_vost_1(2009).txt	177.777777777778
read_vost_2(1996)_2.txt	73.1475069252078
read_vost_2(1996)_3.txt	55.4614261677093
read_vost_2(1996)_4.txt	70.4634470868237
read_vost_2(1996)_5.txt	98
read_vost_2(1996).txt	89.3210469783481
read_vost_2(2010)_2.txt	101.610526850582
read_vost_2(2010).txt	54.1922809869769
read_vost_3(1996)_2.txt	106.928046335487
read_vost_3(1996)_3.txt	68.3710737764792
read_vost_3(1996)_4.txt	85.3533996237571
read_vost_3(1996)_5.txt	49.8230224684518
read_vost_3(1996)_6.txt	53.4188034188034
read_vost_3(1996)_7.txt	61.306992620278
read_vost_3(1996)_8.txt	45.8539833292504
read_vost_3(1996).txt	47.7463656950836
read_vost_3(2009.9)_2.txt	52.9586688496107
read_vost_3(2009.9)_3.txt	87.5809667791839
read_vost_3(2009.9)_4.txt	42.1639168910641
read_vost_3(2009.9)_5.txt	71.9481734319179
read_vost_3(2009.9)_6.txt	54.67208411664
read_vost_3(2009.9).txt	77.81982421875
read_vost_4(1996)_2.txt	60.0363531813907
read_vost_4(1996)_3.txt	71.5102040816327
read_vost_4(1996)_4.txt	114.325370735627
read_vost_4(1996)_5.txt	52.4343474214094
read_vost_4(1996)_6.txt	53.6640754651061
read_vost_4(1996).txt	44.5556640625
read_vost_4(2010)_2.txt	41.2566754594657
read_vost_4(2010)_3.txt	50.5408527620248
read_vost_4(2010)_4.txt	49.424585450869
