Text	Types	Tokens	Sentences
read_vost_1(1994)_6.txt	65	121	22
read_vost_1(1994).txt	39	66	14
read_vost_1(2009)_2.txt	47	82	11
read_vost_1(2009)_3.txt	77	143	14
read_vost_1(2009)_4.txt	110	163	15
read_vost_1(2009)_5.txt	105	183	20
read_vost_1(2009).txt	46	71	8
read_vost_2(1996)_2.txt	210	390	47
read_vost_2(1996)_3.txt	285	519	46
read_vost_2(1996)_4.txt	313	591	62
read_vost_2(1996)_5.txt	157	237	22
read_vost_2(1996).txt	193	358	44
read_vost_2(2010)_2.txt	180	300	26
read_vost_2(2010).txt	199	315	34
read_vost_3(1996)_2.txt	101	186	11
read_vost_3(1996)_3.txt	257	464	30
read_vost_3(1996)_4.txt	244	369	26
read_vost_3(1996)_5.txt	350	560	41
read_vost_3(1996)_6.txt	355	556	38
read_vost_3(1996)_7.txt	344	586	43
read_vost_3(1996)_8.txt	327	509	38
read_vost_3(1996).txt	404	718	63
read_vost_3(2009.9)_2.txt	264	471	38
read_vost_3(2009.9)_3.txt	188	393	27
read_vost_3(2009.9)_4.txt	310	539	42
read_vost_3(2009.9)_5.txt	367	861	52
read_vost_3(2009.9)_6.txt	335	577	55
read_vost_3(2009.9).txt	189	340	36
read_vost_4(1996)_2.txt	339	557	42
read_vost_4(1996)_3.txt	264	424	27
read_vost_4(1996)_4.txt	187	277	13
read_vost_4(1996)_5.txt	354	560	45
read_vost_4(1996)_6.txt	790	1328	86
read_vost_4(1996).txt	406	685	51
read_vost_4(2010)_2.txt	301	461	37
read_vost_4(2010)_3.txt	383	686	34
read_vost_4(2010)_4.txt	523	963	65
read_vost_4(2010)_5.txt	456	771	60
read_vost_4(2010)_6.txt	447	764	46
read_vost_4(2010)_7.txt	374	715	56
read_vost_4(2010)_8.txt	253	428	24
read_vost_4(2010).txt	185	273	19
read_vost_5(1996)_2.txt	172	289	14
read_vost_5(1996)_3.txt	93	145	8
read_vost_5(1996)_4.txt	184	316	29
read_vost_5(1996)_5.txt	147	242	17
read_vost_5(1996).txt	237	398	24
read_vost_5(2011)_2.txt	1001	2987	68
read_vost_5(2011)_3.txt	314	564	30
read_vost_5(2011)_4.txt	135	200	11
read_vost_5(2011)_5.txt	237	338	13
read_vost_5(2011)_6.txt	340	593	40
read_vost_5(2011)_7.txt	471	869	67
read_vost_5(2011)_8.txt	568	1012	28
read_vost_5(2011)_9.txt	273	395	14
read_vost_5(2011).txt	154	262	18
read_vost_6(1997)_2.txt	246	349	19
read_vost_6(1997)_3.txt	191	283	11
read_vost_6(1997).txt	103	178	10
read_vost_6(2012)_2.txt	405	744	32
read_vost_6(2012)_3.txt	411	767	59
read_vost_6(2012)_4.txt	369	617	23
read_vost_6(2012)_5.txt	247	369	17
read_vost_6(2012)_6.txt	312	541	24
read_vost_6(2012).txt	369	683	29
read_vost_7(1996)_10.txt	392	620	40
read_vost_7(1996)_2.txt	1610	4113	358
read_vost_7(1996)_3.txt	158	234	14
read_vost_7(1996)_4.txt	156	215	10
read_vost_7(1996)_5.txt	214	308	14
read_vost_7(1996)_6.txt	211	324	16
read_vost_7(1996)_7.txt	201	311	15
read_vost_7(1996)_8.txt	657	1141	53
read_vost_7(1996)_9.txt	551	1119	33
read_vost_7(1996).txt	358	642	28
read_vost_7(2013)_2.txt	510	904	52
read_vost_7(2013)_3.txt	527	1100	64
read_vost_7(2013)_4.txt	389	640	32
read_vost_7(2013).txt	587	1161	69
read_vost_8(1997)_2.txt	380	622	32
read_vost_8(1997)_3.txt	157	213	14
read_vost_8(1997)_4.txt	1171	2209	117
read_vost_8(1997)_5.txt	1055	1806	100
read_vost_8(1997)_6.txt	1615	3940	166
read_vost_8(1997).txt	344	516	27
read_vost_8(2014)_2.txt	343	539	38
read_vost_8(2014)_3.txt	494	879	48
read_vost_8(2014)_4.txt	794	1738	56
read_vost_8(2014)_5.txt	564	1092	51
read_vost_8(2014)_6.txt	653	1215	75
read_vost_8(2014)_7.txt	519	873	58
