document	TTR
read_basi_(1980)_2.txt	0.711934156378601
read_basi_(1980)_3.txt	0.740181268882175
read_basi_(1980).txt	0.772036474164134
read_basi_II(1980).txt	0.726190476190476
read_basi_III(1981)_2.txt	0.693430656934307
read_basi_III(1981)_3.txt	0.723132969034608
read_basi_III(1981)_4.txt	0.692913385826772
read_basi_III(1981)_5.txt	0.629885057471264
read_basi_III(1981)_6.txt	0.599688473520249
read_basi_III(1981)_7.txt	0.599775784753363
read_basi_III(1981)_8.txt	0.454802259887006
read_basi_III(1981).txt	0.811475409836066
read_basi_IV(1981)_2.txt	0.714859437751004
read_basi_IV(1981)_3.txt	0.563444108761329
read_basi_IV(1981)_4.txt	0.771739130434783
read_basi_IV(1981)_5.txt	0.625792811839323
read_basi_IV(1981)_6.txt	0.604519774011299
read_basi_IV(1981).txt	0.761695906432749
read_russ_(2010)_2.txt	0.705521472392638
read_russ_(2010)_3.txt	0.672566371681416
read_russ_(2010).txt	0.613682092555332
read_russ_1(2008)_2.txt	0.9375
read_russ_1(2008)_3.txt	0.792682926829268
read_russ_1(2008)_4.txt	0.897058823529412
read_russ_1(2008)_5.txt	0.767441860465116
read_russ_1(2008)_6.txt	0.632911392405063
read_russ_1(2008)_7.txt	0.681318681318681
read_russ_1(2008)_8.txt	0.651162790697674
read_russ_1(2008)_9.txt	0.687898089171974
read_russ_1(2008).txt	0.846153846153846
read_russ_1(2009)_2.txt	0.741935483870968
read_russ_1(2009)_3.txt	0.76056338028169
read_russ_1(2009)_4.txt	0.711538461538462
read_russ_1(2009)_5.txt	0.608695652173913
read_russ_1(2009)_6.txt	0.673611111111111
read_russ_1(2009)_7.txt	0.66412213740458
read_russ_1(2009).txt	0.851851851851852
read_russ_1(2015)_2.txt	0.74468085106383
read_russ_1(2015)_3.txt	0.697674418604651
read_russ_1(2015)_4.txt	0.697368421052632
read_russ_1(2015)_5.txt	0.701923076923077
read_russ_1(2015)_6.txt	0.835443037974684
read_russ_1(2015)_7.txt	0.714285714285714
read_russ_1(2015).txt	0.614035087719298
read_russ_2(2008)_2.txt	0.765432098765432
read_russ_2(2008)_3.txt	0.716157205240175
read_russ_2(2008)_4.txt	0.760975609756098
read_russ_2(2008)_5.txt	0.779569892473118
read_russ_2(2008)_6.txt	0.614130434782609
read_russ_2(2008)_7.txt	0.686170212765957
read_russ_2(2008)_8.txt	0.863636363636364
read_russ_2(2008)_9.txt	0.779220779220779
read_russ_2(2008).txt	0.777777777777778
read_russ_2(2009)_2.txt	0.73224043715847
read_russ_2(2009)_3.txt	0.765765765765766
read_russ_2(2009)_4.txt	0.579787234042553
read_russ_2(2009)_5.txt	0.632231404958678
read_russ_2(2009)_6.txt	0.625
read_russ_2(2009).txt	0.688235294117647
read_russ_2(2016)_2.txt	0.705128205128205
read_russ_2(2016)_3.txt	0.8671875
read_russ_2(2016)_4.txt	0.754716981132076
read_russ_2(2016)_5.txt	0.789855072463768
read_russ_2(2016)_6.txt	0.856
read_russ_2(2016)_7.txt	0.793939393939394
read_russ_2(2016).txt	0.623076923076923
read_russ_3(2009)_2.txt	0.600371747211896
read_russ_3(2009)_3.txt	0.661290322580645
read_russ_3(2009)_4.txt	0.655737704918033
read_russ_3(2009)_5.txt	0.629496402877698
read_russ_3(2009)_6.txt	0.640419947506562
read_russ_3(2009)_7.txt	0.66793893129771
read_russ_3(2009).txt	0.682926829268293
read_russ_3(2018)_2.txt	0.707070707070707
read_russ_3(2018)_3.txt	0.696428571428571
read_russ_3(2018)_4.txt	0.705263157894737
read_russ_3(2018)_5.txt	0.74247491638796
read_russ_3(2018).txt	0.665615141955836
read_russ_4(2009)_2.txt	0.668730650154799
read_russ_4(2009)_3.txt	0.751269035532995
read_russ_4(2009)_4.txt	0.638297872340426
read_russ_4(2009).txt	0.773148148148148
read_russ_4(2010)_2.txt	0.712153518123667
read_russ_4(2010)_3.txt	0.713333333333333
read_russ_4(2010)_4.txt	0.807881773399015
read_russ_4(2010)_5.txt	0.759425493716337
read_russ_4(2010)_6.txt	0.703448275862069
read_russ_4(2010)_7.txt	0.675675675675676
read_russ_4(2010).txt	0.707762557077626
read_russ_5(2010)_2.txt	0.703479576399395
read_russ_5(2010)_3.txt	0.590692124105012
read_russ_5(2010)_4.txt	0.741538461538462
read_russ_5(2010)_5.txt	0.75
read_russ_5(2010).txt	0.606826801517067
read_russ_6(2011)_10.txt	0.647279549718574
read_russ_6(2011)_11.txt	0.757255936675462
read_russ_6(2011)_12.txt	0.722543352601156
read_russ_6(2011)_2.txt	0.753125
read_russ_6(2011)_3.txt	0.658371040723982
read_russ_6(2011)_4.txt	0.775510204081633
read_russ_6(2011)_5.txt	0.691983122362869
read_russ_6(2011)_6.txt	0.717724288840263
read_russ_6(2011)_7.txt	0.719714964370546
read_russ_6(2011)_8.txt	0.771331058020478
read_russ_6(2011)_9.txt	0.678423236514523
read_russ_6(2011).txt	0.78476821192053
read_russ_7(2011)_2.txt	0.832167832167832
read_russ_7(2011)_3.txt	0.62531017369727
read_russ_7(2011)_4.txt	0.715504978662873
read_russ_7(2011)_5.txt	0.777173913043478
read_russ_7(2011)_6.txt	0.604996096799375
read_russ_7(2011)_7.txt	0.612227074235808
read_russ_7(2011).txt	0.671111111111111
read_russ_8(2011)_2.txt	0.777439024390244
read_russ_8(2011)_3.txt	0.732484076433121
read_russ_8(2011)_4.txt	0.691176470588235
read_russ_8(2011)_5.txt	0.589692765113974
read_russ_8(2011)_6.txt	0.716577540106952
read_russ_8(2011).txt	0.650625601539942
read_trav_1(2010)_2.txt	0.808219178082192
read_trav_1(2010)_3.txt	0.807228915662651
read_trav_1(2010)_4.txt	0.8
read_trav_1(2010)_5.txt	0.803738317757009
read_trav_1(2010).txt	0.779411764705882
read_trav_2(2010)_2.txt	0.798507462686567
read_trav_2(2010)_3.txt	0.748571428571429
read_trav_2(2010)_4.txt	0.794642857142857
read_trav_2(2010)_5.txt	0.720430107526882
read_trav_2(2010)_6.txt	0.795
read_trav_2(2010).txt	0.803921568627451
read_trav_3(2011)_2.txt	0.626315789473684
read_trav_3(2011)_3.txt	0.765957446808511
read_trav_3(2011)_4.txt	0.736842105263158
read_trav_3(2011)_5.txt	0.77431906614786
read_trav_3(2011)_6.txt	0.732142857142857
read_trav_3(2011)_7.txt	0.693236714975845
read_trav_3(2011).txt	0.62202380952381
read_trav_4(2016)_2.txt	0.742049469964664
read_trav_4(2016)_3.txt	0.846153846153846
read_trav_4(2016)_4.txt	0.729838709677419
read_trav_4(2016)_5.txt	0.721052631578947
read_trav_4(2016)_6.txt	0.754929577464789
read_trav_4(2016).txt	0.769230769230769
read_vost_1(1994)_2.txt	0.615384615384615
read_vost_1(1994)_3.txt	0.492753623188406
read_vost_1(1994)_4.txt	0.447916666666667
read_vost_1(1994)_5.txt	0.549450549450549
read_vost_1(1994)_6.txt	0.629213483146067
read_vost_1(1994).txt	0.62
read_vost_1(2009)_2.txt	0.626865671641791
read_vost_1(2009)_3.txt	0.608695652173913
read_vost_1(2009)_4.txt	0.765151515151515
read_vost_1(2009)_5.txt	0.635135135135135
read_vost_1(2009).txt	0.683333333333333
read_vost_2(1996)_2.txt	0.595394736842105
read_vost_2(1996)_3.txt	0.619854721549637
read_vost_2(1996)_4.txt	0.603896103896104
read_vost_2(1996)_5.txt	0.71
read_vost_2(1996).txt	0.62781954887218
read_vost_2(2010)_2.txt	0.674897119341564
read_vost_2(2010).txt	0.716049382716049
read_vost_3(1996)_2.txt	0.67910447761194
read_vost_3(1996)_3.txt	0.643243243243243
read_vost_3(1996)_4.txt	0.724590163934426
read_vost_3(1996)_5.txt	0.706140350877193
read_vost_3(1996)_6.txt	0.709401709401709
read_vost_3(1996)_7.txt	0.705240174672489
read_vost_3(1996)_8.txt	0.736842105263158
read_vost_3(1996).txt	0.627350427350427
read_vost_3(2009.9)_2.txt	0.702312138728324
read_vost_3(2009.9)_3.txt	0.595667870036101
read_vost_3(2009.9)_4.txt	0.708229426433915
read_vost_3(2009.9)_5.txt	0.514195583596215
read_vost_3(2009.9)_6.txt	0.673866090712743
read_vost_3(2009.9).txt	0.66015625
read_vost_4(1996)_2.txt	0.679911699779249
read_vost_4(1996)_3.txt	0.702857142857143
read_vost_4(1996)_4.txt	0.717948717948718
read_vost_4(1996)_5.txt	0.728476821192053
