document	SMOG
read_vost_2(1996)_3.txt	3.1291
read_vost_2(1996)_4.txt	3.1291
read_vost_2(1996)_5.txt	3.1291
read_vost_2(1996).txt	3.1291
read_vost_2(2010)_2.txt	3.1291
read_vost_2(2010).txt	3.1291
read_vost_3(1996)_2.txt	3.1291
read_vost_3(1996)_3.txt	3.1291
read_vost_3(1996)_4.txt	3.1291
read_vost_3(1996)_5.txt	3.1291
read_vost_3(1996)_6.txt	3.1291
read_vost_3(1996)_7.txt	3.1291
read_vost_3(1996)_8.txt	3.1291
read_vost_3(1996).txt	3.1291
read_vost_3(2009.9)_2.txt	3.1291
read_vost_3(2009.9)_3.txt	3.1291
read_vost_3(2009.9)_4.txt	3.1291
read_vost_3(2009.9)_5.txt	3.1291
read_vost_3(2009.9)_6.txt	3.1291
read_vost_3(2009.9).txt	3.1291
read_vost_4(1996)_2.txt	3.1291
read_vost_4(1996)_3.txt	3.1291
read_vost_4(1996)_4.txt	3.1291
read_vost_4(1996)_5.txt	3.1291
read_vost_4(1996)_6.txt	3.1291
read_vost_4(1996).txt	3.1291
read_vost_4(2010)_2.txt	3.1291
read_vost_4(2010)_3.txt	3.1291
read_vost_4(2010)_4.txt	3.1291
read_vost_4(2010)_5.txt	3.1291
read_vost_4(2010)_6.txt	3.1291
read_vost_4(2010)_7.txt	3.1291
read_vost_4(2010)_8.txt	3.1291
read_vost_4(2010).txt	3.1291
read_vost_5(1996)_2.txt	3.1291
read_vost_5(1996)_3.txt	3.1291
read_vost_5(1996)_4.txt	3.1291
read_vost_5(1996)_5.txt	3.1291
read_vost_5(1996).txt	3.1291
read_vost_5(2011)_2.txt	3.1291
read_vost_5(2011)_3.txt	3.1291
read_vost_5(2011)_4.txt	3.1291
read_vost_5(2011)_5.txt	3.1291
read_vost_5(2011)_6.txt	3.1291
read_vost_5(2011)_7.txt	3.1291
read_vost_5(2011)_8.txt	3.1291
read_vost_5(2011)_9.txt	3.1291
read_vost_5(2011).txt	3.1291
read_vost_6(1997)_2.txt	3.1291
read_vost_6(1997)_3.txt	3.1291
read_vost_6(1997).txt	3.1291
read_vost_6(2012)_2.txt	3.1291
read_vost_6(2012)_3.txt	3.1291
read_vost_6(2012)_4.txt	4.3470615981407
read_vost_6(2012)_5.txt	3.1291
read_vost_6(2012)_6.txt	3.1291
read_vost_6(2012).txt	3.1291
read_vost_7(1996)_10.txt	3.1291
read_vost_7(1996)_2.txt	3.1291
read_vost_7(1996)_3.txt	3.1291
read_vost_7(1996)_4.txt	3.1291
read_vost_7(1996)_5.txt	3.1291
read_vost_7(1996)_6.txt	3.1291
read_vost_7(1996)_7.txt	3.1291
read_vost_7(1996)_8.txt	3.1291
read_vost_7(1996)_9.txt	3.1291
read_vost_7(1996).txt	3.1291
read_vost_7(2013)_2.txt	3.1291
read_vost_7(2013)_3.txt	3.1291
read_vost_7(2013)_4.txt	3.1291
read_vost_7(2013).txt	3.1291
read_vost_8(1997)_2.txt	3.1291
