document	R
read_trav_3(2011).txt	11.4018847648306
read_trav_4(2016)_2.txt	12.483204263833
read_trav_4(2016)_3.txt	10.5684581511358
read_trav_4(2016)_4.txt	11.4935114935172
read_trav_4(2016)_5.txt	9.93902462650716
read_trav_4(2016)_6.txt	14.2239631172386
read_trav_4(2016).txt	8.77058019307029
read_vost_1(1994)_2.txt	4.43760156980183
read_vost_1(1994)_3.txt	4.09311900491615
read_vost_1(1994)_4.txt	4.38866912248653
read_vost_1(1994)_5.txt	5.24142418360959
read_vost_1(1994)_6.txt	5.93598812803562
read_vost_1(1994).txt	4.38406204335659
read_vost_1(2009)_2.txt	5.13111666296482
read_vost_1(2009)_3.txt	6.5275336576822
read_vost_1(2009)_4.txt	8.79092162576274
read_vost_1(2009)_5.txt	7.72675240335179
read_vost_1(2009).txt	5.2930772398168
read_vost_2(1996)_2.txt	10.3810619576429
read_vost_2(1996)_3.txt	12.5969364814111
read_vost_2(1996)_4.txt	12.9802547350587
read_vost_2(1996)_5.txt	10.040916292849
read_vost_2(1996).txt	10.2394269693989
read_vost_2(2010)_2.txt	10.5206049052332
read_vost_2(2010).txt	11.1621052043328
read_vost_3(1996)_2.txt	7.86120267279038
read_vost_3(1996)_3.txt	12.3730308288589
read_vost_3(1996)_4.txt	12.6544231883365
read_vost_3(1996)_5.txt	15.0790315664653
read_vost_3(1996)_6.txt	15.346705428898
read_vost_3(1996)_7.txt	15.0927988265667
read_vost_3(1996)_8.txt	14.7184095250597
read_vost_3(1996).txt	15.1735825314132
read_vost_3(2009.9)_2.txt	13.0637609328624
read_vost_3(2009.9)_3.txt	9.91388917408081
read_vost_3(2009.9)_4.txt	14.1822832120654
read_vost_3(2009.9)_5.txt	12.9471139738695
read_vost_3(2009.9)_6.txt	14.4998696650134
read_vost_3(2009.9).txt	10.5625
read_vost_4(1996)_2.txt	14.4711023606361
read_vost_4(1996)_3.txt	13.1492531020913
read_vost_4(1996)_4.txt	10.9825035677383
read_vost_4(1996)_5.txt	15.504752529253
read_vost_4(1996)_6.txt	22.4696056389536
read_vost_4(1996).txt	16.0424850981698
read_vost_4(2010)_2.txt	14.2907382969665
read_vost_4(2010)_3.txt	15.4503060332713
read_vost_4(2010)_4.txt	17.682933068911
read_vost_4(2010)_5.txt	16.2998098339537
read_vost_4(2010)_6.txt	16.3323474019694
read_vost_4(2010)_7.txt	14.1743020696202
read_vost_4(2010)_8.txt	12.4188326845889
read_vost_4(2010).txt	11.1496667435915
read_vost_5(1996)_2.txt	11.1318676896947
read_vost_5(1996)_3.txt	7.8920518725247
read_vost_5(1996)_4.txt	10.6708841524515
read_vost_5(1996)_5.txt	9.67870959140932
read_vost_5(1996).txt	12.1841244058814
read_vost_5(2011)_2.txt	19.917456895126
read_vost_5(2011)_3.txt	13.6950311905576
read_vost_5(2011)_4.txt	9.92307692307692
read_vost_5(2011)_5.txt	13.3199022226833
read_vost_5(2011)_6.txt	14.3295318789892
read_vost_5(2011)_7.txt	16.7241612163079
read_vost_5(2011)_8.txt	18.3456477317557
read_vost_5(2011)_9.txt	14.1718494687627
read_vost_5(2011).txt	9.82393550151181
read_vost_6(1997)_2.txt	13.5294117647059
read_vost_6(1997)_3.txt	11.4483594923
read_vost_6(1997).txt	7.40593181760111
read_vost_6(2012)_2.txt	15.5672379747856
read_vost_6(2012)_3.txt	15.2557782075777
read_vost_6(2012)_4.txt	15.3981035723721
read_vost_6(2012)_5.txt	13.2760372309271
read_vost_6(2012)_6.txt	14.1322092972982
read_vost_6(2012).txt	14.8934365787417
read_vost_7(1996)_10.txt	16.5403699590982
read_vost_7(1996)_2.txt	26.6537613258381
read_vost_7(1996)_3.txt	10.0184322105417
read_vost_7(1996)_4.txt	10.4001799354655
read_vost_7(1996)_5.txt	12.6759432264245
read_vost_7(1996)_6.txt	11.8348965913495
read_vost_7(1996)_7.txt	10.7949387100801
read_vost_7(1996)_8.txt	19.5506310361851
read_vost_7(1996)_9.txt	17.3231784327593
read_vost_7(1996).txt	15.0706751178886
read_vost_7(2013)_2.txt	17.9138073670011
read_vost_7(2013)_3.txt	16.650085648809
read_vost_7(2013)_4.txt	15.6938585523663
read_vost_7(2013).txt	18.1708021702884
read_vost_8(1997)_2.txt	16.2058985416108
read_vost_8(1997)_3.txt	11.068231436252
read_vost_8(1997)_4.txt	25.9271205249716
read_vost_8(1997)_5.txt	25.8284999100813
read_vost_8(1997)_6.txt	28.0445463925699
read_vost_8(1997).txt	15.4931746759165
read_vost_8(2014)_2.txt	15.4586735600211
read_vost_8(2014)_3.txt	17.6635618842779
read_vost_8(2014)_4.txt	20.5315282846909
read_vost_8(2014)_5.txt	18.0685563140149
read_vost_8(2014)_6.txt	19.9726192616254
read_vost_8(2014)_7.txt	18.9301211314119
read_vost_8(2014)_8.txt	21.200335573334
read_vost_8(2014).txt	19.6197921898426
task_basi_(1980)_gram_2.txt	4.78340384882485
task_basi_(1980)_gram_3.txt	5.75023629004099
task_basi_(1980)_gram_4.txt	6.39362013091006
task_basi_(1980)_gram_5.txt	5.42720420239975
task_basi_(1980)_gram_6.txt	5.40061724867322
task_basi_(1980)_gram.txt	4.66973785269615
task_basi_(1980)_synt.txt	4.47213595499958
task_basi_II(1980)_gram_2.txt	7.25629700011281
task_basi_II(1980)_gram_3.txt	5.29465138921661
task_basi_II(1980)_gram_4.txt	5.11207720338155
task_basi_II(1980)_gram_5.txt	3.60843918243516
task_basi_II(1980)_gram_6.txt	5.57795987468863
task_basi_II(1980)_gram_7.txt	6.46632301492381
task_basi_II(1980)_gram.txt	5.0130265092665
task_basi_II(1980)_lexi.txt	7.33016666137831
task_basi_II(1980)_synt.txt	5.81377674149945
task_basi_III(1981)_gram_2.txt	7.69948383218325
task_basi_III(1981)_gram_3.txt	8.44913788705586
task_basi_III(1981)_gram_4.txt	7.46392289131769
task_basi_III(1981)_gram_5.txt	5.28422907556788
task_basi_III(1981)_gram_6.txt	8.82052856340996
task_basi_III(1981)_gram_7.txt	6.80413817439772
task_basi_III(1981)_gram.txt	7.01621498582197
task_basi_III(1981)_leSe_2.txt	7.88842650515759
task_basi_III(1981)_leSe_3.txt	7.69015354453092
task_basi_III(1981)_leSe.txt	6.4340152101264
task_basi_IV(1981)_lexi_2.txt	7.58430874440346
task_basi_IV(1981)_lexi_3.txt	7.57450555009092
task_basi_IV(1981)_lexi.txt	6.91399151637638
task_basi_IV(1981)_phra.txt	9.32504808240314
task_russ_(2010)_gram_2.txt	5.0289484567497
task_russ_(2010)_gram_3.txt	6.90688990828203
