document	D
read_basi_(1980)_2.txt	0.0075502499744924
read_basi_(1980)_3.txt	0.00443101711983887
read_basi_(1980).txt	0.00656090147527615
read_basi_II(1980).txt	0.00634445394924437
read_basi_III(1981)_2.txt	0.00589490758526486
read_basi_III(1981)_3.txt	0.00356321380612394
read_basi_III(1981)_4.txt	0.00473063396719679
read_basi_III(1981)_5.txt	0.00466648148882981
read_basi_III(1981)_6.txt	0.00604098930312353
read_basi_III(1981)_7.txt	0.00442391025350667
read_basi_III(1981)_8.txt	0.00906991425534805
read_basi_III(1981).txt	0.00501287088470397
read_basi_IV(1981)_2.txt	0.00592693354061407
read_basi_IV(1981)_3.txt	0.00510532882979647
read_basi_IV(1981)_4.txt	0.00550724637681159
read_basi_IV(1981)_5.txt	0.00639624466979611
read_basi_IV(1981)_6.txt	0.00665174288455389
read_basi_IV(1981).txt	0.00494892673362273
read_russ_(2010)_2.txt	0.00466827583894867
read_russ_(2010)_3.txt	0.00670093989757275
read_russ_(2010).txt	0.00634451872525475
read_russ_1(2008)_2.txt	0.00403225806451613
read_russ_1(2008)_3.txt	0.00692562481180367
read_russ_1(2008)_4.txt	0.00351185250219491
read_russ_1(2008)_5.txt	0.0106703146374829
read_russ_1(2008)_6.txt	0.0162284972411555
read_russ_1(2008)_7.txt	0.0131868131868132
read_russ_1(2008)_8.txt	0.0254445964432285
read_russ_1(2008)_9.txt	0.00947248081006043
read_russ_1(2008).txt	0.0215384615384615
read_russ_1(2009)_2.txt	0.0153358011634056
read_russ_1(2009)_3.txt	0.0112676056338028
read_russ_1(2009)_4.txt	0.00802837938760269
read_russ_1(2009)_5.txt	0.0186184280122712
read_russ_1(2009)_6.txt	0.0183566433566434
read_russ_1(2009)_7.txt	0.0112742219612449
read_russ_1(2009).txt	0.00978336827393431
read_russ_1(2015)_2.txt	0.0166512488436633
read_russ_1(2015)_3.txt	0.0103967168262654
read_russ_1(2015)_4.txt	0.0157894736842105
read_russ_1(2015)_5.txt	0.0149365197908887
read_russ_1(2015)_6.txt	0.0068159688412853
read_russ_1(2015)_7.txt	0.00860805860805861
read_russ_1(2015).txt	0.0269423558897243
read_russ_2(2008)_2.txt	0.00506096158270071
